technique,bpIds,cols,seed,breakpointsPerLine,actionsCount,testcase,linesSum,linesDiff,linesDiffByLinesSum
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-string-unpack-code,32,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.2,10,sunspider-string-validate-input,36,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-3d-cube,356,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-3d-morph,64,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-3d-raytrace,448,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-access-binary-trees,54,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-access-fannkuch,70,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-access-nbody,174,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-access-nsieve,46,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-bitops-3bit-bits-in-byte,40,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-bitops-bits-in-byte,30,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-bitops-bitwise-and,36,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-bitops-nsieve-bits,42,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-controlflow-recursive,32,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-crypto-aes,426,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-crypto-md5,292,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-crypto-sha1,228,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-date-format-tofte,302,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-date-format-xparb,420,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-math-cordic,106,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-math-partial-sums,46,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-math-spectral-norm,60,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-regexp-dna,1722,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-string-base64,138,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-string-fasta,90,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-string-tagcloud,272,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-string-unpack-code,82,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,0.5,10,sunspider-string-validate-input,92,0,0.000000
cascaded-1-resolved-bp-locations,false,false,0,1.0,10,sunspider-3d-cube,550,0,0.000000
