Browser,Transformation,SunSpider testcase,# diff lines/combination
firefox,mangle-uglifyjs2,bitops-bitwise-and,0.0
firefox,mangle-uglifyjs2,bitops-nsieve-bits,0.0
firefox,mangle-uglifyjs2,controlflow-recursive,0.0
firefox,mangle-uglifyjs2,crypto-aes,0.0
firefox,mangle-uglifyjs2,crypto-md5,0.0
firefox,mangle-uglifyjs2,crypto-sha1,0.0
firefox,mangle-uglifyjs2,date-format-tofte,0.0
firefox,mangle-uglifyjs2,date-format-xparb,0.006779661016949152
firefox,mangle-uglifyjs2,math-cordic,0.0
firefox,mangle-uglifyjs2,math-partial-sums,0.0
firefox,mangle-uglifyjs2,math-spectral-norm,0.0
firefox,mangle-uglifyjs2,regexp-dna,0.0
firefox,mangle-uglifyjs2,string-base64,0.0
firefox,mangle-uglifyjs2,string-fasta,0.0
firefox,mangle-uglifyjs2,string-tagcloud,0.0
firefox,mangle-uglifyjs2,string-unpack-code,0.0
firefox,mangle-uglifyjs2,string-validate-input,0.0
firefox,randomize-funcs,3d-cube,0.009972801450589302
firefox,randomize-funcs,3d-morph,0.15151515151515152
firefox,randomize-funcs,3d-raytrace,0.009386281588447653
firefox,randomize-funcs,access-binary-trees,0.8764044943820225
firefox,randomize-funcs,access-fannkuch,0.0
firefox,randomize-funcs,access-nbody,0.0037313432835820895
firefox,randomize-funcs,access-nsieve,0.0
firefox,randomize-funcs,bitops-3bit-bits-in-byte,0.0
firefox,randomize-funcs,bitops-bits-in-byte,0.0
firefox,randomize-funcs,bitops-bitwise-and,0.0
firefox,randomize-funcs,bitops-nsieve-bits,0.0
firefox,randomize-funcs,controlflow-recursive,0.0
firefox,randomize-funcs,crypto-aes,0.0015360983102918587
firefox,randomize-funcs,crypto-md5,0.011185682326621925
firefox,randomize-funcs,crypto-sha1,0.0012987012987012987
firefox,randomize-funcs,date-format-tofte,0.0
firefox,randomize-funcs,date-format-xparb,0.0
firefox,randomize-funcs,math-cordic,0.0
firefox,randomize-funcs,math-partial-sums,0.0
firefox,randomize-funcs,math-spectral-norm,0.1404494382022472
firefox,randomize-funcs,regexp-dna,0.0
firefox,randomize-funcs,string-base64,0.11137440758293839
firefox,randomize-funcs,string-fasta,0.0
firefox,randomize-funcs,string-tagcloud,0.0
firefox,randomize-funcs,string-unpack-code,0.0
firefox,randomize-funcs,string-validate-input,0.053763440860215055
