breakpointsPerLine,actions,browser,testcase,ms
0.1,200,firefox,sunspider-crypto-sha1,11685
0.1,200,firefox,sunspider-date-format-tofte,12176
0.1,200,firefox,sunspider-date-format-xparb,10888
0.1,200,firefox,sunspider-math-cordic,10834
0.1,200,firefox,sunspider-math-partial-sums,10420
0.1,200,firefox,sunspider-math-spectral-norm,12221
0.1,200,firefox,sunspider-regexp-dna,18112
0.1,200,firefox,sunspider-string-base64,10038
0.1,200,firefox,sunspider-string-fasta,10429
0.1,200,firefox,sunspider-string-tagcloud,103070
0.1,200,firefox,sunspider-string-unpack-code,12132
0.1,200,firefox,sunspider-string-validate-input,11046
0.1,200,firefox,js-puzzle-1,679
0.1,200,firefox,js-puzzle-2,781
0.1,200,firefox,js-puzzle-3,678
0.1,200,firefox,js-puzzle-4,667
0.1,200,firefox,js-puzzle-5,658
0.1,200,firefox,js-puzzle-6,657
0.1,200,firefox,js-puzzle-7,662
0.1,200,firefox,js-puzzle-8,660
0.1,200,firefox,js-puzzle-9,683
0.1,200,firefox,js-puzzle-10,680
0.1,200,firefox,js-puzzle-11,667
0.1,200,firefox,manual-bindings,685
0.1,200,firefox,manual-multiline-decls,671
0.1,200,firefox,manual-wtf,786
0.1,200,chrome,sunspider-3d-cube,2151
0.1,200,chrome,sunspider-3d-morph,1479
0.1,200,chrome,sunspider-3d-raytrace,2213
0.1,200,chrome,sunspider-access-binary-trees,1652
0.1,200,chrome,sunspider-access-fannkuch,1482
0.1,200,chrome,sunspider-access-nbody,1570
0.1,200,chrome,sunspider-access-nsieve,340
0.1,200,chrome,sunspider-bitops-3bit-bits-in-byte,1243
0.1,200,chrome,sunspider-bitops-bits-in-byte,327
0.1,200,chrome,sunspider-bitops-bitwise-and,316
0.1,200,chrome,sunspider-bitops-nsieve-bits,340
0.1,200,chrome,sunspider-controlflow-recursive,1739
0.1,200,chrome,sunspider-crypto-aes,1928
0.1,200,chrome,sunspider-crypto-md5,1850
0.1,200,chrome,sunspider-crypto-sha1,1677
0.1,200,chrome,sunspider-date-format-tofte,2258
0.1,200,chrome,sunspider-date-format-xparb,1828
0.1,200,chrome,sunspider-math-cordic,1401
0.1,200,chrome,sunspider-math-partial-sums,1357
0.1,200,chrome,sunspider-math-spectral-norm,1493
0.1,200,chrome,sunspider-regexp-dna,1533
0.1,200,chrome,sunspider-string-base64,1644
0.1,200,chrome,sunspider-string-fasta,1396
0.1,200,chrome,sunspider-string-tagcloud,2300
0.1,200,chrome,sunspider-string-unpack-code,371
0.1,200,chrome,sunspider-string-validate-input,1507
0.1,200,chrome,js-puzzle-1,309
0.1,200,chrome,js-puzzle-2,314
0.1,200,chrome,js-puzzle-3,295
0.1,200,chrome,js-puzzle-4,313
0.1,200,chrome,js-puzzle-5,327
0.1,200,chrome,js-puzzle-6,284
0.1,200,chrome,js-puzzle-7,306
0.1,200,chrome,js-puzzle-8,309
0.1,200,chrome,js-puzzle-9,303
0.1,200,chrome,js-puzzle-10,308
0.1,200,chrome,js-puzzle-11,308
0.1,200,chrome,manual-bindings,358
0.1,200,chrome,manual-multiline-decls,311
0.1,200,chrome,manual-wtf,372
0.1,100,firefox,sunspider-3d-cube,6690
0.1,100,firefox,sunspider-3d-morph,7784
0.1,100,firefox,sunspider-3d-raytrace,6414
0.1,100,firefox,sunspider-access-binary-trees,7034
0.1,100,firefox,sunspider-access-fannkuch,5640
0.1,100,firefox,sunspider-access-nbody,5853
0.1,100,firefox,sunspider-access-nsieve,794
0.1,100,firefox,sunspider-bitops-3bit-bits-in-byte,5984
0.1,100,firefox,sunspider-bitops-bits-in-byte,5898
0.1,100,firefox,sunspider-bitops-bitwise-and,701
0.1,100,firefox,sunspider-bitops-nsieve-bits,686
0.1,100,firefox,sunspider-controlflow-recursive,9187
0.1,100,firefox,sunspider-crypto-aes,6416
0.1,100,firefox,sunspider-crypto-md5,6473
0.1,100,firefox,sunspider-crypto-sha1,6119
0.1,100,firefox,sunspider-date-format-tofte,6540
0.1,100,firefox,sunspider-date-format-xparb,5753
0.1,100,firefox,sunspider-math-cordic,5658
0.1,100,firefox,sunspider-math-partial-sums,5516
0.1,100,firefox,sunspider-math-spectral-norm,6407
0.1,100,firefox,sunspider-regexp-dna,15421
0.1,100,firefox,sunspider-string-base64,5462
0.1,100,firefox,sunspider-string-fasta,5988
0.1,100,firefox,sunspider-string-tagcloud,52334
0.1,100,firefox,sunspider-string-unpack-code,6430
0.1,100,firefox,sunspider-string-validate-input,5792
0.1,100,firefox,js-puzzle-1,667
